Trial,ND,Genotype,OnTransientPositive,OffTransientNegative,SteadyState,Repeat,Fly
946,4,Gal4,2.22774033832462,-1.90457065015313,-2.90815937347464,6,32
947,4,Gal4,4.38096250384576,-4.82835634897623,-9.39364573763377,7,32
948,4,Gal4,4.33628616535553,-3.42862128600021,-7.625748820413,8,32
949,4,Gal4,2.24437811254197,-0.562650602827365,-3.52421402314679,9,32
950,4,Gal4,3.21189386140504,-3.73728262841047,-7.46440366687554,10,32
951,4,Gal4,3.28737010249219,-3.21302987422976,-8.20671880999231,1,34
952,4,Gal4,3.66245553240386,-2.34518236778566,-5.57892172060212,2,34
953,4,Gal4,3.44592552647498,-0.993891685115805,-5.7418246493786,3,34
954,4,Gal4,4.15862262909197,-5.5889854179309,-7.47507472190452,4,34
955,4,Gal4,3.96650741617683,-6.74368212941825,-7.49830119005205,5,34
956,4,Gal4,5.97614231206756,-4.90050361087708,-8.94765775507266,6,34
957,4,Gal4,2.32836691147405,-1.83762259584207,-2.72563911890137,7,34
958,4,Gal4,4.18785515712411,-4.78462944656739,-9.61283330156016,8,34
959,4,Gal4,4.28014641592942,-3.42002277358798,-7.98459594732452,9,34
960,4,Gal4,2.30438624593876,-0.693847902734809,-3.73654726188133,10,34
961,4,Gal4,3.25273076971635,-3.52946431992288,-7.60472114729502,1,37
962,4,Gal4,3.58551609953958,-3.19249392964543,-8.37845376795203,2,37
963,4,Gal4,3.96210159375774,-2.3405924016184,-5.72270893886217,3,37
964,4,Gal4,3.25430034154138,-0.800602160582261,-5.57465768849212,4,37
965,4,Gal4,4.46015896498664,-5.36295184955661,-7.04877727103199,5,37
966,4,Gal4,3.9199553111728,-6.70794262513925,-7.70595690003303,6,37
967,4,Gal4,6.60887370247239,-5.39367233914374,-8.89849909252887,7,37
968,4,Gal4,2.42642357561776,-1.91872414938005,-3.12280313629799,8,37
969,4,Gal4,4.25439400925223,-4.81679082366798,-9.73329350914746,9,37
970,4,Gal4,4.39330289662827,-3.58096384975871,-7.9815488851612,10,37
971,4,Gal4,2.30444285598056,-0.505595571173618,-3.6342125389797,1,40
972,4,Gal4,3.26406614081245,-3.60369636724881,-7.54629058614165,2,40
973,4,Gal4,3.32786622347084,-3.40200377170695,-8.45011729556822,3,40
974,4,Gal4,3.93324787662007,-2.18534419180486,-5.85297289490555,4,40
975,4,Gal4,3.66140023980616,-1.18793788713188,-5.34719429392745,5,40
976,4,Gal4,4.45065077602502,-5.84748130064069,-7.86520513058137,6,40
977,4,Gal4,3.87364968046556,-6.97719005537058,-7.4505625321627,7,40
978,4,Gal4,6.52528085473578,-4.33024988120363,-8.90183406606562,8,40
979,4,Gal4,2.49474959748487,-2.01779690483646,-2.84571572489565,9,40
980,4,Gal4,4.26029214895468,-4.23643805668861,-9.42405891047363,10,40
981,4,Gal4,4.34677572566549,-3.33887667464169,-8.00451246355832,1,44
982,4,Gal4,2.49576656037015,-0.439350380842263,-3.67846076635467,2,44
983,4,Gal4,3.39246416488676,-3.80164377997958,-7.82413600544627,3,44
984,4,Gal4,2.89781183446583,-3.07797560521035,-8.49310989309434,4,44
985,4,Gal4,3.7984877755276,-2.20128636077493,-5.76331763502536,5,44
986,4,Gal4,3.29427662867044,-0.914468405320843,-5.75053236436494,6,44
987,4,Gal4,4.22977831733259,-5.6803639744629,-7.49215465435351,7,44
988,4,Gal4,4.04006419387621,-6.38659657253285,-8.21162381578391,8,44
989,4,Gal4,2.35511923123046,-3.15829102146066,-8.94461769773354,9,44
990,4,Gal4,2.52299831196158,-1.98805606365858,-2.84291503444481,10,44
991,4,Gal4,4.12207739979929,-4.61474388371411,-9.61902301791978,1,47
992,4,Gal4,4.05710698769796,-3.55900865552977,-8.13802115051072,2,47
993,4,Gal4,2.54491060891301,-0.902289952299641,-3.76733180377704,3,47
994,4,Gal4,3.32228597510803,-3.40167994565853,-7.56478441540319,4,47
995,4,Gal4,3.03947617715696,-3.2586213327451,-8.69673717188874,5,47
996,4,Gal4,3.93774243343786,-2.22255369066345,-6.07542122454338,6,47
997,4,Gal4,3.25110822883461,-1.09065674329646,-5.65251367834228,7,47
998,4,Gal4,4.33258673612465,-5.74232236623607,-7.12297850596589,8,47
999,4,Gal4,3.96280463878161,-7.26586947405767,-7.54079589491803,9,47
1000,4,Gal4,4.29286177901165,-3.34932525132941,-8.94616799903508,10,47
1001,4,Gal4,2.65801527831458,-1.82431826371423,-2.76484182171392,1,53
1002,4,Gal4,4.33713980322531,-4.74347731061576,-9.4747669605092,2,53
1003,4,Gal4,4.2998572839246,-3.48281746403429,-8.05063123453622,3,53
1004,4,Gal4,2.59978799504356,-0.619522833551155,-3.86011040136927,4,53
1005,4,Gal4,3.3737888354664,-3.62732777876234,-8.01122588993575,5,53
1006,4,Gal4,3.52685317222652,-3.18746283522582,-8.54935161320655,6,53
1007,4,Gal4,4.19109519432143,-2.27519063963865,-6.09172221056187,7,53
1008,4,Gal4,3.45507594913598,-0.876024431966062,-5.65442379274697,8,53
1009,4,Gal4,4.46217388232764,-5.83944964764861,-7.52243381142615,9,53
1010,4,Gal4,4.44470471762703,-6.54307360366654,-7.65662362930012,10,53
1011,4,Gal4,4.43967677131567,-3.40652457647762,-9.03041856266935,1,55
1012,4,Gal4,2.39889963736525,-1.99880206982193,-2.82707016581617,2,55
1013,4,Gal4,4.33363019628405,-4.54717328999514,-9.77439837846555,3,55
1014,4,Gal4,4.24911225934481,-3.72272733804749,-7.60426221817017,4,55
1015,4,Gal4,2.67201324625985,-0.435615393058264,-3.56553387461517,5,55
1016,4,Gal4,3.30470737743969,-3.65570452938188,-7.62829563191665,6,55
1017,4,Gal4,3.2483048428365,-3.00591483968979,-8.55895333625216,7,55
1018,4,Gal4,4.08411184681514,-2.32240593968447,-5.96514174748008,8,55
1019,4,Gal4,3.49757813106937,-1.0819752273851,-5.47664232866824,9,55
1020,4,Gal4,4.39955172876418,-5.87882707391735,-7.78924836230246,10,55
1021,4,Gal4,3.78435768987279,-6.78839723341539,-7.44341007250257,1,57
1022,4,Gal4,3.6675848622484,-3.15042584822354,-9.00370071858852,2,57
1023,4,Gal4,2.68045979105244,-2.02098777458117,-2.9516574465623,3,57
1024,4,Gal4,4.40517219869948,-4.35512052530996,-9.44923853983894,4,57
1025,4,Gal4,4.10985759010179,-3.46671908138545,-7.67384982053846,5,57
1026,4,Gal4,2.62736344396227,-0.465341071191853,-3.80318555846386,6,57
1027,4,Gal4,3.38518800032118,-3.66619081336529,-7.67689594203959,7,57
1028,4,Gal4,2.96712278583168,-3.24364648233135,-8.76394845239962,8,57
1029,4,Gal4,4.11319856694325,-2.31074534958785,-5.94413073252832,9,57
1030,4,Gal4,3.69609192842603,-1.02310470797289,-5.65789610532365,10,57
1031,4,CKO,1.36398910873018,-0.91701886698049,-2.81226098171004,1,27
1032,4,CKO,5.42103262337572,-4.5561095765727,-7.42974018377781,2,27
1033,4,CKO,2.67459245617976,-4.80739216891168,-8.32459816349898,3,27
1034,4,CKO,3.12281347438911,-3.37171562309352,-8.7141363112296,4,27
1035,4,CKO,4.34193479395782,-4.3865772360898,-9.32157557376045,5,27
1036,4,CKO,4.65246190623012,-5.05677002317252,-6.18017966663418,6,27
1037,4,CKO,3.83218860089305,-3.60035359374513,-6.52954497333109,7,27
1038,4,CKO,5.27114017319898,-3.21744591969522,-10.9718185537174,8,27
1039,4,CKO,6.22100152728461,-6.56941458460171,-6.42242114494571,9,27
1040,4,CKO,4.27590139364487,-3.79408102249643,-9.61309107643066,10,27
1041,4,CKO,3.96185211509053,-2.65372282346881,-8.25944925826941,1,31
1042,4,CKO,5.28963967204858,-5.04207788074943,-8.4732033447274,2,31
1043,4,CKO,1.65313028139591,-1.14592134775143,-2.87543891514565,3,31
1044,4,CKO,4.72505304202018,-4.58516991118361,-7.65249430099617,4,31
1045,4,CKO,2.85672719665804,-5.17269784899068,-8.05486969264721,5,31
1046,4,CKO,3.26833275622573,-3.90527741634184,-8.80745947288084,6,31
1047,4,CKO,4.34461586536135,-4.89522049925711,-8.74882996460057,7,31
1048,4,CKO,5.17700095483731,-5.26066041866706,-6.26952950294891,8,31
1049,4,CKO,4.01534187147399,-3.8595769339593,-6.84107861159129,9,31
1050,4,CKO,5.35521648251742,-3.6824384889991,-10.1653806917006,10,31
1051,4,CKO,6.651145330344,-6.79134175718383,-6.91695924804429,1,33
1052,4,CKO,4.44397087258323,-3.5895823415183,-8.81336138943582,2,33
1053,4,CKO,4.18388088830771,-2.2554971966274,-8.2946030570607,3,33
1054,4,CKO,5.44874085248578,-5.85499577228163,-8.93844227649789,4,33
1055,4,CKO,1.66686914398981,-1.09343451199335,-2.90957890366838,5,33
1056,4,CKO,4.68657866257194,-4.67366987908456,-7.69214577519002,6,33
1057,4,CKO,2.97290683132397,-5.36742033958756,-8.44104882092552,7,33
1058,4,CKO,3.20792036827444,-4.01665970810719,-8.84325135390224,8,33
1059,4,CKO,4.08318674450787,-5.358494059783,-9.27885262031456,9,33
1060,4,CKO,4.73081006123924,-5.62897799037116,-5.82387514952364,10,33
1061,4,CKO,3.96155602998936,-4.13060609835472,-6.99709358187661,1,35
1062,4,CKO,5.15551740303601,-3.59733358745106,-10.0933947801171,2,35
1063,4,CKO,6.70641709430293,-6.74626775733311,-6.68759934061032,3,35
1064,4,CKO,4.33545282499146,-3.94057350591472,-8.66988536189252,4,35
1065,4,CKO,4.14656077005657,-2.36126829429537,-8.27308054218979,5,35
1066,4,CKO,5.70355502921,-5.75920251231112,-8.59189465114835,6,35
